"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01067","Henry County, AL","9,702","0","1,693","202","17.5","2.1","8,009","202","82.5","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01069","Houston County, AL","61,338","0","10,258","867","16.7","1.4","51,080","867","83.3","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01071","Jackson County, AL","30,384","0","5,080","562","16.7","1.8","25,304","562","83.3","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01073","Jefferson County, AL","393,773","0","56,046","3,928","14.2","1.0","337,727","3,928","85.8","1.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01075","Lamar County, AL","7,814","0","1,166","156","14.9","2.0","6,648","156","85.1","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01077","Lauderdale County, AL","54,311","0","7,919","869","14.6","1.6","46,392","869","85.4","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01079","Lawrence County, AL","19,642","0","3,444","392","17.5","2.0","16,198","392","82.5","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01081","Lee County, AL","105,215","0","13,669","1,531","13.0","1.5","91,546","1,531","87.0","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01083","Limestone County, AL","57,650","0","7,948","874","13.8","1.5","49,702","874","86.2","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01085","Lowndes County, AL","5,776","0","870","117","15.1","2.0","4,906","117","84.9","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01087","Macon County, AL","9,941","0","1,424","203","14.3","2.0","8,517","203","85.7","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01089","Madison County, AL","224,975","0","26,571","2,328","11.8","1.0","198,404","2,328","88.2","1.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01091","Marengo County, AL","10,895","0","1,479","200","13.6","1.8","9,416","200","86.4","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01093","Marion County, AL","16,879","0","2,798","354","16.6","2.1","14,081","354","83.4","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01095","Marshall County, AL","55,370","0","10,485","953","18.9","1.7","44,885","953","81.1","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01097","Mobile County, AL","245,585","0","42,026","3,206","17.1","1.3","203,559","3,206","82.9","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01099","Monroe County, AL","12,134","0","2,127","276","17.5","2.3","10,007","276","82.5","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01101","Montgomery County, AL","130,629","0","20,582","1,975","15.8","1.5","110,047","1,975","84.2","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01103","Morgan County, AL","70,068","0","11,873","1,174","16.9","1.7","58,195","1,174","83.1","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01105","Perry County, AL","4,724","0","718","105","15.2","2.2","4,006","105","84.8","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01107","Pickens County, AL","10,622","0","1,616","221","15.2","2.1","9,006","221","84.8","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01109","Pike County, AL","19,951","0","3,470","457","17.4","2.3","16,481","457","82.6","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01111","Randolph County, AL","12,996","0","2,169","271","16.7","2.1","10,827","271","83.3","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01113","Russell County, AL","35,179","0","5,487","703","15.6","2.0","29,692","703","84.4","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01115","St. Clair County, AL","52,765","0","7,782","894","14.7","1.7","44,983","894","85.3","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01117","Shelby County, AL","130,445","0","13,577","1,319","10.4","1.0","116,868","1,319","89.6","1.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01119","Sumter County, AL","7,199","0","1,196","168","16.6","2.3","6,003","168","83.4","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01121","Talladega County, AL","46,360","0","7,071","835","15.3","1.8","39,289","835","84.7","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01123","Tallapoosa County, AL","23,227","0","3,432","405","14.8","1.7","19,795","405","85.2","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01125","Tuscaloosa County, AL","128,461","0","16,171","1,656","12.6","1.3","112,290","1,656","87.4","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01127","Walker County, AL","36,845","0","6,104","683","16.6","1.9","30,741","683","83.4","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01129","Washington County, AL","9,577","0","1,655","202","17.3","2.1","7,922","202","82.7","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01131","Wilcox County, AL","5,962","0","864","111","14.5","1.9","5,098","111","85.5","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","01133","Winston County, AL","13,667","0","2,522","300","18.5","2.2","11,145","300","81.5","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02000","Alaska","454,961","0","72,939","3,711","16.0","0.8","382,022","3,711","84.0","0.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02013","Aleutians East Borough, AK","2,921","0","786","97","26.9","3.3","2,135","97","73.1","3.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02016","Aleutians West Census Area, AK","4,506","0","837","110","18.6","2.4","3,669","110","81.4","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02020","Anchorage Borough, AK","183,697","0","25,603","1,659","13.9","0.9","158,094","1,659","86.1","0.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02050","Bethel Census Area, AK","10,237","0","2,464","247","24.1","2.4","7,773","247","75.9","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02060","Bristol Bay Borough, AK","567","0","99","13","17.5","2.3","468","13","82.5","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02068","Denali Borough, AK","1,350","0","179","25","13.3","1.9","1,171","25","86.7","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02070","Dillingham Census Area, AK","2,971","0","685","81","23.1","2.7","2,286","81","76.9","2.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02090","Fairbanks North Star Borough, AK","60,950","0","8,606","920","14.1","1.5","52,344","920","85.9","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02100","Haines Borough, AK","1,509","0","226","33","15.0","2.2","1,283","33","85.0","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02105","Hoonah-Angoon Census Area, AK","1,275","0","297","36","23.3","2.8","978","36","76.7","2.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02110","Juneau Borough, AK","20,373","0","2,502","294","12.3","1.4","17,871","294","87.7","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02122","Kenai Peninsula Borough, AK","34,219","0","6,001","579","17.5","1.7","28,218","579","82.5","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02130","Ketchikan Gateway Borough, AK","8,553","0","1,498","167","17.5","2.0","7,055","167","82.5","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02150","Kodiak Island Borough, AK","8,419","0","1,874","213","22.3","2.5","6,545","213","77.7","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02158","Kusilvak Census Area, AK","4,503","0","1,148","137","25.5","3.0","3,355","137","74.5","3.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02164","Lake and Peninsula Borough, AK","982","0","243","30","24.7","3.1","739","30","75.3","3.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02170","Matanuska-Susitna Borough, AK","64,495","0","11,156","911","17.3","1.4","53,339","911","82.7","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02180","Nome Census Area, AK","5,706","0","1,331","143","23.3","2.5","4,375","143","76.7","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02185","North Slope Borough, AK","6,557","0","1,137","147","17.3","2.2","5,420","147","82.7","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02188","Northwest Arctic Borough, AK","4,394","0","1,014","121","23.1","2.8","3,380","121","76.9","2.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02195","Petersburg Borough, AK","1,938","0","343","41","17.7","2.1","1,595","41","82.3","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02198","Prince of Wales-Hyder Census Area, AK","3,864","0","879","98","22.7","2.5","2,985","98","77.3","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02220","Sitka Borough, AK","5,395","0","936","114","17.3","2.1","4,459","114","82.7","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02230","Skagway Municipality, AK","801","0","123","18","15.4","2.2","678","18","84.6","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02240","Southeast Fairbanks Census Area, AK","4,128","0","964","111","23.4","2.7","3,164","111","76.6","2.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02261","Valdez-Cordova Census Area, AK","5,732","0","822","109","14.3","1.9","4,910","109","85.7","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02275","Wrangell City and Borough, AK","1,461","0","285","36","19.5","2.5","1,176","36","80.5","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02282","Yakutat Borough, AK","376","0","76","11","20.2","2.9","300","11","79.8","2.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","02290","Yukon-Koyukuk Census Area, AK","3,082","0","825","88","26.8","2.9","2,257","88","73.2","2.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04000","Arizona","4,148,615","0","607,784","15,938","14.7","0.4","3,540,831","15,938","85.3","0.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04001","Apache County, AZ","40,462","0","9,902","949","24.5","2.3","30,560","949","75.5","2.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04003","Cochise County, AZ","65,891","0","8,492","1,014","12.9","1.5","57,399","1,014","87.1","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04005","Coconino County, AZ","84,711","0","12,402","1,300","14.6","1.5","72,309","1,300","85.4","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04007","Gila County, AZ","27,082","0","4,427","526","16.3","1.9","22,655","526","83.7","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04009","Graham County, AZ","19,916","0","2,815","376","14.1","1.9","17,101","376","85.9","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04011","Greenlee County, AZ","5,620","0","462","80","8.2","1.4","5,158","80","91.8","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04012","La Paz County, AZ","9,006","0","2,143","257","23.8","2.9","6,863","257","76.2","2.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04013","Maricopa County, AZ","2,645,128","0","381,608","10,299","14.4","0.4","2,263,520","10,299","85.6","0.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04015","Mohave County, AZ","106,268","0","15,452","1,613","14.5","1.5","90,816","1,613","85.5","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04017","Navajo County, AZ","59,255","0","10,322","1,063","17.4","1.8","48,933","1,063","82.6","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04019","Pima County, AZ","599,288","0","84,056","5,396","14.0","0.9","515,232","5,396","86.0","0.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04021","Pinal County, AZ","231,656","0","32,784","2,945","14.2","1.3","198,872","2,945","85.8","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04023","Santa Cruz County, AZ","25,349","0","5,087","623","20.1","2.5","20,262","623","79.9","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04025","Yavapai County, AZ","118,867","0","19,641","1,985","16.5","1.7","99,226","1,985","83.5","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","04027","Yuma County, AZ","110,116","0","18,191","1,793","16.5","1.6","91,925","1,793","83.5","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05000","Arkansas","1,740,432","0","205,307","8,489","11.8","0.5","1,535,125","8,489","88.2","0.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05001","Arkansas County, AR","10,110","0","1,073","155","10.6","1.5","9,037","155","89.4","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05003","Ashley County, AR","11,283","0","1,333","189","11.8","1.7","9,950","189","88.2","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05005","Baxter County, AR","21,299","0","2,222","307","10.4","1.4","19,077","307","89.6","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05007","Benton County, AR","164,202","0","19,594","1,823","11.9","1.1","144,608","1,823","88.1","1.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05009","Boone County, AR","21,063","0","2,288","323","10.9","1.5","18,775","323","89.1","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05011","Bradley County, AR","6,135","0","872","128","14.2","2.1","5,263","128","85.8","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05013","Calhoun County, AR","2,977","0","288","44","9.7","1.5","2,689","44","90.3","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05015","Carroll County, AR","15,495","0","2,408","307","15.5","2.0","13,087","307","84.5","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05017","Chicot County, AR","5,315","0","598","89","11.3","1.7","4,717","89","88.7","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05019","Clark County, AR","11,629","0","1,217","195","10.5","1.7","10,412","195","89.5","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05021","Clay County, AR","8,346","0","981","141","11.8","1.7","7,365","141","88.2","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05023","Cleburne County, AR","13,466","0","1,519","207","11.3","1.5","11,947","207","88.7","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05025","Cleveland County, AR","4,590","0","419","62","9.1","1.4","4,171","62","90.9","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05027","Columbia County, AR","12,847","0","1,527","230","11.9","1.8","11,320","230","88.1","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05029","Conway County, AR","12,063","0","1,231","177","10.2","1.5","10,832","177","89.8","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05031","Craighead County, AR","63,669","0","7,462","942","11.7","1.5","56,207","942","88.3","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05033","Crawford County, AR","37,247","0","4,553","583","12.2","1.6","32,694","583","87.8","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05035","Crittenden County, AR","27,605","0","2,953","405","10.7","1.5","24,652","405","89.3","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05037","Cross County, AR","9,546","0","1,065","154","11.2","1.6","8,481","154","88.8","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05039","Dallas County, AR","3,809","0","355","57","9.3","1.5","3,454","57","90.7","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05041","Desha County, AR","6,316","0","804","117","12.7","1.9","5,512","117","87.3","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05043","Drew County, AR","10,509","0","1,027","160","9.8","1.5","9,482","160","90.2","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05045","Faulkner County, AR","76,947","0","7,508","963","9.8","1.3","69,439","963","90.2","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05047","Franklin County, AR","10,257","0","1,236","180","12.1","1.8","9,021","180","87.9","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05049","Fulton County, AR","6,496","0","712","104","11.0","1.6","5,784","104","89.0","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05051","Garland County, AR","54,944","0","6,879","869","12.5","1.6","48,065","869","87.5","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05053","Grant County, AR","10,797","0","870","134","8.1","1.2","9,927","134","91.9","1.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05055","Greene County, AR","26,819","0","2,404","347","9.0","1.3","24,415","347","91.0","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05057","Hempstead County, AR","12,113","0","1,661","230","13.7","1.9","10,452","230","86.3","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05059","Hot Spring County, AR","18,493","0","1,833","264","9.9","1.4","16,660","264","90.1","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05061","Howard County, AR","7,432","0","1,086","156","14.6","2.1","6,346","156","85.4","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05063","Independence County, AR","21,430","0","2,448","355","11.4","1.7","18,982","355","88.6","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05065","Izard County, AR","6,802","0","891","119","13.1","1.7","5,911","119","86.9","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05067","Jackson County, AR","8,275","0","859","127","10.4","1.5","7,416","127","89.6","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05069","Jefferson County, AR","36,343","0","3,466","490","9.5","1.3","32,877","490","90.5","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05071","Johnson County, AR","15,202","0","2,523","338","16.6","2.2","12,679","338","83.4","2.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05073","Lafayette County, AR","3,790","0","473","70","12.5","1.8","3,317","70","87.5","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05075","Lawrence County, AR","9,164","0","920","137","10.0","1.5","8,244","137","90.0","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05077","Lee County, AR","3,864","0","413","61","10.7","1.6","3,451","61","89.3","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05079","Lincoln County, AR","5,501","0","664","97","12.1","1.8","4,837","97","87.9","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05081","Little River County, AR","6,974","0","753","114","10.8","1.6","6,221","114","89.2","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05083","Logan County, AR","12,579","0","1,451","201","11.5","1.6","11,128","201","88.5","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05085","Lonoke County, AR","44,932","0","4,199","574","9.3","1.3","40,733","574","90.7","1.3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05087","Madison County, AR","9,420","0","1,508","198","16.0","2.1","7,912","198","84.0","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05089","Marion County, AR","8,785","0","1,046","152","11.9","1.7","7,739","152","88.1","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05091","Miller County, AR","24,941","0","2,669","384","10.7","1.5","22,272","384","89.3","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05093","Mississippi County, AR","23,717","0","2,360","342","10.0","1.4","21,357","342","90.0","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05095","Monroe County, AR","3,793","0","402","60","10.6","1.6","3,391","60","89.4","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05097","Montgomery County, AR","4,852","0","739","99","15.2","2.0","4,113","99","84.8","2.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05099","Nevada County, AR","4,671","0","454","72","9.7","1.5","4,217","72","90.3","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05101","Newton County, AR","4,217","0","448","70","10.6","1.7","3,769","70","89.4","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05103","Ouachita County, AR","13,357","0","1,334","205","10.0","1.5","12,023","205","90.0","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05105","Perry County, AR","5,934","0","581","85","9.8","1.4","5,353","85","90.2","1.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05107","Phillips County, AR","9,771","0","1,034","153","10.6","1.6","8,737","153","89.4","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05109","Pike County, AR","6,125","0","963","129","15.7","2.1","5,162","129","84.3","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05111","Poinsett County, AR","13,736","0","1,541","224","11.2","1.6","12,195","224","88.8","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05113","Polk County, AR","10,817","0","1,651","222","15.3","2.1","9,166","222","84.7","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05115","Pope County, AR","36,236","0","4,803","648","13.3","1.8","31,433","648","86.7","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05117","Prairie County, AR","4,489","0","510","76","11.4","1.7","3,979","76","88.6","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05119","Pulaski County, AR","235,403","0","24,287","2,368","10.3","1.0","211,116","2,368","89.7","1.0"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05121","Randolph County, AR","10,045","0","1,205","176","12.0","1.8","8,840","176","88.0","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05123","St. Francis County, AR","11,958","0","1,323","202","11.1","1.7","10,635","202","88.9","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05125","Saline County, AR","71,529","0","6,143","778","8.6","1.1","65,386","778","91.4","1.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2018","05127","Scott County, AR","5,748","0","850","122","14.8","2.1","4,898","122","85.2","2.1"
